source_language	source_value	subject_id	predicate_id	translation_language	translation_value	translation_status
en	Diminished PMS2 expression	HP:0020065	rdfs:label	es		NOT_TRANSLATED
en	Pathological inclusion body by subcellular location	HP:0020066	rdfs:label	es		NOT_TRANSLATED
en	Pathological inclusion body by anatomical location	HP:0020067	rdfs:label	es		NOT_TRANSLATED
en	Intranuclear inclusion bodies	HP:0020068	rdfs:label	es		NOT_TRANSLATED
en	Appendicular location	HP:0020069	rdfs:label	es		NOT_TRANSLATED
en	Exposure to humid conditions	HP:0020070	rdfs:label	es		NOT_TRANSLATED
en	Histopathological abnormality	HP:0020092	rdfs:label	es		NOT_TRANSLATED
en	Squamous metaplasia	HP:0020094	rdfs:label	es		NOT_TRANSLATED
en	Glomerular basement membrane duplication	HP:0020109	rdfs:label	es		NOT_TRANSLATED
en	Abnormal CD8+ T cell subset proportion	HP:0020115	rdfs:label	es		NOT_TRANSLATED
en	Subcutaneous abscess	HP:0020116	rdfs:label	es		NOT_TRANSLATED
en	Echopraxia	HP:0020124	rdfs:label	es		NOT_TRANSLATED
en	Abnormal neoplastic cell morphology	HP:0020162	rdfs:label	es		NOT_TRANSLATED
en	Tumor signet ring cell	HP:0020168	rdfs:label	es		NOT_TRANSLATED
en	Abnormal Q wave	HP:0020232	rdfs:label	es		NOT_TRANSLATED
en	Abnormal bursal fluid morphology	HP:0020252	rdfs:label	es		NOT_TRANSLATED
en	Elevated bursal fluid leukocyte count	HP:0020256	rdfs:label	es		NOT_TRANSLATED
en	Decreased biparietal diameter	HP:0020259	rdfs:label	es		NOT_TRANSLATED
en	Increased biparietal diameter	HP:0020260	rdfs:label	es		NOT_TRANSLATED
en	Abnormal occipitofrontal diameter	HP:0020297	rdfs:label	es		NOT_TRANSLATED
en	Decreased occipitofrontal diameter	HP:0020298	rdfs:label	es		NOT_TRANSLATED
en	Increased occipitofrontal diameter	HP:0020299	rdfs:label	es		NOT_TRANSLATED
en	Abnormal elbow morphology	HP:0020300	rdfs:label	es		NOT_TRANSLATED
en	Abnormal elbow physiology	HP:0020301	rdfs:label	es		NOT_TRANSLATED
en	Restrictive eating	HP:0020302	rdfs:label	es		NOT_TRANSLATED
en	Abnormal fetal abdominal circumference	HP:0020303	rdfs:label	es		NOT_TRANSLATED
en	Increased fetal abdominal circumference	HP:0020304	rdfs:label	es		NOT_TRANSLATED
en	Abnormal fetal head circumference	HP:0020305	rdfs:label	es		NOT_TRANSLATED
en	Decreased fetal head circumference	HP:0020306	rdfs:label	es		NOT_TRANSLATED
en	Increased fetal head circumference	HP:0020307	rdfs:label	es		NOT_TRANSLATED
en	Abnormal cecum morphology	HP:0025002	rdfs:label	es		NOT_TRANSLATED
en	Flail chest	HP:0025003	rdfs:label	es		NOT_TRANSLATED
en	Type I radial ray deficiency	HP:0025036	rdfs:label	es		NOT_TRANSLATED
en	Type II radial ray deficiency	HP:0025054	rdfs:label	es		NOT_TRANSLATED
en	Type III radial ray deficiency	HP:0025055	rdfs:label	es		NOT_TRANSLATED
en	Type IV radial ray deficiency	HP:0025056	rdfs:label	es		NOT_TRANSLATED
en	Recurrent sepsis	HP:0025067	rdfs:label	es		NOT_TRANSLATED
en	Wrist sign	HP:0025091	rdfs:label	es		NOT_TRANSLATED
en	Acquired aphakia	HP:0025111	rdfs:label	es		NOT_TRANSLATED
en	Abnormal circulating reverse T3 concentration	HP:0025120	rdfs:label	es		NOT_TRANSLATED
en	Abnormal CD4+ T cell proportion	HP:0025183	rdfs:label	es		NOT_TRANSLATED
en	Arousal parasomnia	HP:0025184	rdfs:label	es		NOT_TRANSLATED
en	Sleep talking	HP:0025187	rdfs:label	es		NOT_TRANSLATED
en	Hypnic jerks	HP:0025189	rdfs:label	es		NOT_TRANSLATED
en	Fragmented sleep	HP:0025199	rdfs:label	es		NOT_TRANSLATED
en	Excessive sleep	HP:0025288	rdfs:label	es		NOT_TRANSLATED
en	Extended nighttime sleep	HP:0025298	rdfs:label	es		NOT_TRANSLATED
en	Frequent napping	HP:0025299	rdfs:label	es		NOT_TRANSLATED
en	Free-running sleep pattern	HP:0025365	rdfs:label	es		NOT_TRANSLATED
en	Anti-glycosylphosphatidylinositol anchored high-density lipoprotein binding protein 1 antibody positivity	HP:0025731	rdfs:label	es		NOT_TRANSLATED
en	Abnormal social development	HP:0025732	rdfs:label	es		NOT_TRANSLATED
en	Streak gonad	HP:0025733	rdfs:label	es		NOT_TRANSLATED
en	Elevated urinary 5-hydroxyhexanoic acid level	HP:0025734	rdfs:label	es		NOT_TRANSLATED
en	Abnormal third cranial nerve morphology	HP:0025735	rdfs:label	es		NOT_TRANSLATED
en	Long-bone fracture	HP:0025736	rdfs:label	es		NOT_TRANSLATED
en	Abnormal subthalamic nucleus morphology	HP:0025737	rdfs:label	es		NOT_TRANSLATED
en	Ring-enhancing cerebral lesion	HP:0025738	rdfs:label	es		NOT_TRANSLATED
en	Optic nerve mass	HP:0025739	rdfs:label	es		NOT_TRANSLATED
en	Elevated brain succinate level by MRS	HP:0025740	rdfs:label	es		NOT_TRANSLATED
en	Brainstem lucency	HP:0025741	rdfs:label	es		NOT_TRANSLATED
en	Elevated urine L-xylulose level	HP:0025742	rdfs:label	es		NOT_TRANSLATED
en	Elevated urine biliverdin level	HP:0025743	rdfs:label	es		NOT_TRANSLATED
en	Elevated urine dodecanedioic acid level	HP:0025744	rdfs:label	es		NOT_TRANSLATED
en	Abnormal urine amino acid level	HP:0025745	rdfs:label	es		NOT_TRANSLATED
en	Diminished urine glutamine level	HP:0025746	rdfs:label	es		NOT_TRANSLATED
en	Tongue spasticity	HP:0025747	rdfs:label	es		NOT_TRANSLATED
en	Restricted tongue movement	HP:0025748	rdfs:label	es		NOT_TRANSLATED
en	Asymmetric blood pressure between limbs	HP:0025749	rdfs:label	es		NOT_TRANSLATED
en	Asymmetric blood pressure between legs	HP:0025750	rdfs:label	es		NOT_TRANSLATED
en	Reduced anterior scleral thickness	HP:0025751	rdfs:label	es		NOT_TRANSLATED
en	Reduced posterior scleral thickness	HP:0025752	rdfs:label	es		NOT_TRANSLATED
en	Elevated urinary 2-aminoisobutyric acid	HP:0025753	rdfs:label	es		NOT_TRANSLATED
en	Reduced beta-hexosaminidase A activity	HP:0025754	rdfs:label	es		NOT_TRANSLATED
en	Abnormal nail shape	HP:0025755	rdfs:label	es		NOT_TRANSLATED
en	Abnormal nail attachment	HP:0025756	rdfs:label	es		NOT_TRANSLATED
en	Abnormal nail surface	HP:0025757	rdfs:label	es		NOT_TRANSLATED
en	Characteristic of mass	HP:0025758	rdfs:label	es		NOT_TRANSLATED
en	Mobile lump	HP:0025759	rdfs:label	es		NOT_TRANSLATED
en	Immobile lump	HP:0025760	rdfs:label	es		NOT_TRANSLATED
en	Painless mass	HP:0025761	rdfs:label	es		NOT_TRANSLATED
en	Anti-ganglionic acetylcholine receptor antibody positivity	HP:0025762	rdfs:label	es		NOT_TRANSLATED
en	Positive urine anion gap	HP:0025763	rdfs:label	es		NOT_TRANSLATED
en	Nasoethmoidal encephalocele	HP:0025764	rdfs:label	es		NOT_TRANSLATED
en	Rubber-like lump	HP:0025765	rdfs:label	es		NOT_TRANSLATED
en	Abnormal affect	HP:0025766	rdfs:label	es		NOT_TRANSLATED
en	Disordered formal thought process	HP:0025769	rdfs:label	es		NOT_TRANSLATED
en	2-3 finger osseus syndactyly	HP:0025770	rdfs:label	es		NOT_TRANSLATED
en	Ruminations	HP:0025771	rdfs:label	es		NOT_TRANSLATED
en	Abnormal lexical patterns	HP:0025772	rdfs:label	es		NOT_TRANSLATED
en	Abnormal semantics	HP:0025773	rdfs:label	es		NOT_TRANSLATED
en	Idiosyncratic use of words	HP:0025774	rdfs:label	es		NOT_TRANSLATED
en	Tangential speech	HP:0025775	rdfs:label	es		NOT_TRANSLATED
en	Thought insertion	HP:0025776	rdfs:label	es		NOT_TRANSLATED
en	Thought broadcasting	HP:0025777	rdfs:label	es		NOT_TRANSLATED
en	Thought echo	HP:0025778	rdfs:label	es		NOT_TRANSLATED
en	Disorder of thought content	HP:0025779	rdfs:label	es		NOT_TRANSLATED
en	Abnormal volitional state	HP:0025780	rdfs:label	es		NOT_TRANSLATED
en	Abnormally rapid thought process	HP:0025781	rdfs:label	es		NOT_TRANSLATED
en	Abnormal syntax	HP:0025782	rdfs:label	es		NOT_TRANSLATED
en	Diagnostic behavioral phenotype	HP:0025783	rdfs:label	es		NOT_TRANSLATED
en	Word salad	HP:0025784	rdfs:label	es		NOT_TRANSLATED
en	Abnormal preoccupation	HP:0025785	rdfs:label	es		NOT_TRANSLATED
en	Intraosseous lipoma	HP:0025786	rdfs:label	es		NOT_TRANSLATED
en	Paraphilia	HP:0025787	rdfs:label	es		NOT_TRANSLATED
en	Radiographic modifier	HP:0025788	rdfs:label	es		NOT_TRANSLATED
en	Radiolucent	HP:0025789	rdfs:label	es		NOT_TRANSLATED
en	Radiodense	HP:0025790	rdfs:label	es		NOT_TRANSLATED
en	Delusion of guilt	HP:0025791	rdfs:label	es		NOT_TRANSLATED
en	Abnormal cognitive process	HP:0025792	rdfs:label	es		NOT_TRANSLATED
en	Abnormal change in sexual drive	HP:0025793	rdfs:label	es		NOT_TRANSLATED
en	Reduced MHC I cell surface expression	HP:0025794	rdfs:label	es		NOT_TRANSLATED
en	Positive urine infectious agent test	HP:0025795	rdfs:label	es		NOT_TRANSLATED
en	Positive urine Legionella pneumophila antigen test	HP:0025796	rdfs:label	es		NOT_TRANSLATED
en	Unilateral sensorineural hearing impairment	HP:0025797	rdfs:label	es		NOT_TRANSLATED
en	Abnormal wrist morphology	HP:0025798	rdfs:label	es		NOT_TRANSLATED
en	Abnormal wrist physiology	HP:0025799	rdfs:label	es		NOT_TRANSLATED
en	Wrist instability	HP:0025800	rdfs:label	es		NOT_TRANSLATED
en	Nail elevation	HP:0025801	rdfs:label	es		NOT_TRANSLATED
en	Talipes varus	HP:0025802	rdfs:label	es		NOT_TRANSLATED
en	Mucocutaneous lesion painful	HP:0025803	rdfs:label	es		NOT_TRANSLATED
en	Painful lymphadenopathy	HP:0025804	rdfs:label	es		NOT_TRANSLATED
en	Absent circulating T cells	HP:0025805	rdfs:label	es		NOT_TRANSLATED
en	Abnormal total B cell count	HP:0025806	rdfs:label	es		NOT_TRANSLATED
en	Decreased natural killer cell degranulation	HP:0025807	rdfs:label	es		NOT_TRANSLATED
en	Decreased natural killer cell-induced killing of target cells	HP:0025808	rdfs:label	es		NOT_TRANSLATED
en	Generalized scaling	HP:0025809	rdfs:label	es		NOT_TRANSLATED
en	Ichthyosis linearis circumflexa	HP:0025810	rdfs:label	es		NOT_TRANSLATED
en	Trichorrhexis invaginata	HP:0025811	rdfs:label	es		NOT_TRANSLATED
en	Seborrheic scales on scalp	HP:0025812	rdfs:label	es		NOT_TRANSLATED
en	Eyebrow scaling skin	HP:0025813	rdfs:label	es		NOT_TRANSLATED
en	Patchy stratum granulosum of epidermis	HP:0025814	rdfs:label	es		NOT_TRANSLATED
en	Absent stratum granulosum of epidermis	HP:0025815	rdfs:label	es		NOT_TRANSLATED
en	Hypogranulosis	HP:0025816	rdfs:label	es		NOT_TRANSLATED
en	Psoriasiform acanthosis	HP:0025817	rdfs:label	es		NOT_TRANSLATED
en	Intraepidermal microabscess formation	HP:0025818	rdfs:label	es		NOT_TRANSLATED
en	Palmoplantar peeling	HP:0025819	rdfs:label	es		NOT_TRANSLATED
en	Offspring of consanguineous relationship	HP:0025820	rdfs:label	es		NOT_TRANSLATED
en	Lower eyelid erythema	HP:0025821	rdfs:label	es		NOT_TRANSLATED
en	Upper eyelid erythema	HP:0025822	rdfs:label	es		NOT_TRANSLATED
en	Positive provocative functional shoulder test	HP:0025823	rdfs:label	es		NOT_TRANSLATED
en	Decreased neutrophil phagocytosis	HP:0025824	rdfs:label	es		NOT_TRANSLATED
en	Decreased neutrophil adhesion	HP:0025825	rdfs:label	es		NOT_TRANSLATED
en	Severely decreased neutrophil count	HP:0025826	rdfs:label	es		NOT_TRANSLATED
en	Abnormal Th1 T cell proportion	HP:0025827	rdfs:label	es		NOT_TRANSLATED
en	Increased Th1 T cell proportion	HP:0025828	rdfs:label	es		NOT_TRANSLATED
en	Decreased Th1 T cell proportion	HP:0025829	rdfs:label	es		NOT_TRANSLATED
en	Abnormal Th17 T cell proportion	HP:0025830	rdfs:label	es		NOT_TRANSLATED
en	Increased Th17 T cell proportion	HP:0025831	rdfs:label	es		NOT_TRANSLATED
en	Decreased Th17 T cell proportion	HP:0025832	rdfs:label	es		NOT_TRANSLATED
en	Decreased PMA/ionomycin-induced T-cell proliferation	HP:0025833	rdfs:label	es		NOT_TRANSLATED
en	Decreased PHA-induced T-cell proliferation	HP:0025834	rdfs:label	es		NOT_TRANSLATED
en	Decreased CD8+ T cell degranulation	HP:0025835	rdfs:label	es		NOT_TRANSLATED
en	Increased CD8+ T cell proportion	HP:0025836	rdfs:label	es		NOT_TRANSLATED
en	Abnormal RTE CD4+ T cell proportion	HP:0025837	rdfs:label	es		NOT_TRANSLATED
en	Increased RTE CD4+ T cell proportion	HP:0025838	rdfs:label	es		NOT_TRANSLATED
en	Decreased RTE CD4+ T cell proportion	HP:0025839	rdfs:label	es		NOT_TRANSLATED
en	Abnormal HLA DR+ CD4+ T cell proportion	HP:0025840	rdfs:label	es		NOT_TRANSLATED
en	Decreased proportion of HLA DR+ CD4+ T cells	HP:0025841	rdfs:label	es		NOT_TRANSLATED
en	Abnormal HLA DR+ CD8+ T cell proportion	HP:0025842	rdfs:label	es		NOT_TRANSLATED
en	Increased HLA DR+ CD8+ T cell proportion	HP:0025843	rdfs:label	es		NOT_TRANSLATED
en	Decreased HLA DR+ CD8+ T cell proportion	HP:0025844	rdfs:label	es		NOT_TRANSLATED
en	Abnormal TCR repertoire	HP:0025845	rdfs:label	es		NOT_TRANSLATED
en	Decreased natural killer cell perforin expression	HP:0025846	rdfs:label	es		NOT_TRANSLATED
en	Fish allergy	HP:0025847	rdfs:label	es		NOT_TRANSLATED
en	Shellfish allergy	HP:0025848	rdfs:label	es		NOT_TRANSLATED
en	Localized along nerve distribution	HP:0025849	rdfs:label	es		NOT_TRANSLATED
en	Abnormal synovial cavity morphology	HP:0025850	rdfs:label	es		NOT_TRANSLATED
en	Sleep related hallucination	HP:4000063	rdfs:label	es		NOT_TRANSLATED
en	Poor sleep	HP:4000064	rdfs:label	es		NOT_TRANSLATED
en	Distal radioulnar joint space widening	HP:5000040	rdfs:label	es		NOT_TRANSLATED
en	Distal radioulnar joint translation	HP:5000049	rdfs:label	es		NOT_TRANSLATED
en	Thickened fibular cortex	HP:6000705	rdfs:label	es		NOT_TRANSLATED
en	New medication added in recent weeks	HP:6000706	rdfs:label	es		NOT_TRANSLATED
en	Noctural pain	HP:6000707	rdfs:label	es		NOT_TRANSLATED
en	Femoral osteosclerosis	HP:6000708	rdfs:label	es		NOT_TRANSLATED
en	Absent Bell phenomenon	HP:6000709	rdfs:label	es		NOT_TRANSLATED
en	Dalen Fuchs nodules	HP:6000710	rdfs:label	es		NOT_TRANSLATED
en	Triggering by ocular trauma	HP:6000711	rdfs:label	es		NOT_TRANSLATED
en	Gelatinous drop-like dystrophic cornea	HP:6000712	rdfs:label	es		NOT_TRANSLATED
en	Hepatic reticuloendothelial system cell iron deposition	HP:6000713	rdfs:label	es		NOT_TRANSLATED
en	Reduced epidermal kindlin-1 expression	HP:6000714	rdfs:label	es		NOT_TRANSLATED
en	Central giant cell lesion of the jaw	HP:6000715	rdfs:label	es		NOT_TRANSLATED
en	Terminal hepatic lobular vascular occlusion	HP:6000716	rdfs:label	es		NOT_TRANSLATED
en	Axonal spheroids	HP:6000717	rdfs:label	es		NOT_TRANSLATED
en	Decreased liver bile salt export pump expression	HP:6000718	rdfs:label	es		NOT_TRANSLATED
en	Reduced tissue type II iodothyronine deiodinase activity	HP:6000719	rdfs:label	es		NOT_TRANSLATED
en	Reduced tissue fatty aldehyde dehydrogenase activity	HP:6000720	rdfs:label	es		NOT_TRANSLATED
en	Decreased circulating pancreatic isoamylase activity	HP:6000721	rdfs:label	es		NOT_TRANSLATED
en	Reduced tissue guanidinoacetate methyltransferase activity	HP:6000722	rdfs:label	es		NOT_TRANSLATED
en	Reduced erythrocyte galactokinase activity	HP:6000723	rdfs:label	es		NOT_TRANSLATED
en	Auspitz sign	HP:6000724	rdfs:label	es		NOT_TRANSLATED
en	Salty tasting skin	HP:6000725	rdfs:label	es		NOT_TRANSLATED
en	Scalp nodule	HP:6000726	rdfs:label	es		NOT_TRANSLATED
en	History of undercooked pork ingestion	HP:6000727	rdfs:label	es		NOT_TRANSLATED
en	History of recent rodent exposure	HP:6000728	rdfs:label	es		NOT_TRANSLATED
en	Positive CSF fungus test	HP:6000729	rdfs:label	es		NOT_TRANSLATED
en	Positive CSF human T-lymphotropic virus type I antibody positivity	HP:6000730	rdfs:label	es		NOT_TRANSLATED
en	Positive chlamydia trachomatis urine nucleic acid test	HP:6000731	rdfs:label	es		NOT_TRANSLATED
en	Anti-streptococcus deoxyribonuclease-B antibody positivity	HP:6000732	rdfs:label	es		NOT_TRANSLATED
en	Positive streptococcus A rapid antigen detection test	HP:6000733	rdfs:label	es		NOT_TRANSLATED
en	Positive synovial mycobacterial culture	HP:6000734	rdfs:label	es		NOT_TRANSLATED
en	Positive mycobacterial synovial nucleic acid test	HP:6000735	rdfs:label	es		NOT_TRANSLATED
en	Positive bloodstream babesia nucleic acid pathogen test	HP:6000736	rdfs:label	es		NOT_TRANSLATED
en	Positive bloodstream influenza nucleic test	HP:6000737	rdfs:label	es		NOT_TRANSLATED
en	Positive bloodstream parainfluenza virus nucleic acid test	HP:6000738	rdfs:label	es		NOT_TRANSLATED
en	Positive bloodstream adenovirus nucleic acid test	HP:6000739	rdfs:label	es		NOT_TRANSLATED
en	Anti-Francisella tularensis antibody positivity	HP:6000740	rdfs:label	es		NOT_TRANSLATED
en	Positive bloodstream MERS coronavirus nucleic acid test	HP:6000741	rdfs:label	es		NOT_TRANSLATED
en	Positive nasopharyngeal corynebacterium diphtheriae nucleic acid test	HP:6000742	rdfs:label	es		NOT_TRANSLATED
en	Pediculosis capitis	HP:6000743	rdfs:label	es		NOT_TRANSLATED
en	Premature glabellar skin wrinkling	HP:6000744	rdfs:label	es		NOT_TRANSLATED
en	Flexural reticulate hyperpigmentation	HP:6000745	rdfs:label	es		NOT_TRANSLATED
en	Elevated fractional excretion of urate	HP:6000746	rdfs:label	es		NOT_TRANSLATED
en	Abnormal urinary creatine level	HP:6000747	rdfs:label	es		NOT_TRANSLATED
en	Decreased urinary creatine level	HP:6000748	rdfs:label	es		NOT_TRANSLATED
en	Elevated circulating type I procollagen aminoterminal propeptide concentration	HP:6000749	rdfs:label	es		NOT_TRANSLATED
en	Decreased tissue S-adenosylhomocysteine hydrolase activity	HP:6000750	rdfs:label	es		NOT_TRANSLATED
en	Decreased urinary dopamine level	HP:6000751	rdfs:label	es		NOT_TRANSLATED
en	Elevated erythrocyte AICA-ribotide concentration	HP:6000752	rdfs:label	es		NOT_TRANSLATED
en	Elevated circulating monomethyl sterol concentration	HP:6000753	rdfs:label	es		NOT_TRANSLATED
en	Elevated circulating dimethyl sterol concentration	HP:6000754	rdfs:label	es		NOT_TRANSLATED
en	Elevated circulating C-terminal fibroblast growth factor 23 concentration	HP:6000755	rdfs:label	es		NOT_TRANSLATED
en	Elevated urinary 5-hydroxyindoleacetic acid level	HP:6000756	rdfs:label	es		NOT_TRANSLATED
en	Elevated circulating thiosulfate concentration	HP:6000757	rdfs:label	es		NOT_TRANSLATED
en	Elevated circulating interleukin 1 receptor antagonist concentration	HP:6000758	rdfs:label	es		NOT_TRANSLATED
en	Positive CSF West Nile virus nucleic acid test	HP:6000759	rdfs:label	es		NOT_TRANSLATED
en	Positive CSF herpes simplex virus nucleic acid test	HP:6000760	rdfs:label	es		NOT_TRANSLATED
en	Positive CSF cryptococcal antigen test	HP:6000761	rdfs:label	es		NOT_TRANSLATED
en	Positive rubella CSF culture	HP:6000762	rdfs:label	es		NOT_TRANSLATED
en	Positive CSF treponema pallidum nucleic acid test	HP:6000763	rdfs:label	es		NOT_TRANSLATED
en	Decreased CSF tetrahydrobiopterin level	HP:6000764	rdfs:label	es		NOT_TRANSLATED
en	Decreased CSF N-acetyl-aspartyl-glutamate concentration	HP:6000765	rdfs:label	es		NOT_TRANSLATED
en	Positive CSF Tropheryma whipplei bacteria microscopy	HP:6000766	rdfs:label	es		NOT_TRANSLATED
en	CSF treponemal antibody positivity	HP:6000767	rdfs:label	es		NOT_TRANSLATED
en	Echophenomenon	HP:6000768	rdfs:label	es		NOT_TRANSLATED
en	Paracentral hyper-autofluorecence	HP:6000769	rdfs:label	es		NOT_TRANSLATED
en	Fixed fetal extremities	HP:6000770	rdfs:label	es		NOT_TRANSLATED
en	Abnormal peripapillary microvascular network	HP:6000771	rdfs:label	es		NOT_TRANSLATED
en	Auriculitis	HP:6000772	rdfs:label	es		NOT_TRANSLATED
en	Recent history of moisture in external ear canal	HP:6000773	rdfs:label	es		NOT_TRANSLATED
en	History of recent trauma to external ear canal	HP:6000774	rdfs:label	es		NOT_TRANSLATED
en	Elevated urinary 4-tyramine level	HP:6000775	rdfs:label	es		NOT_TRANSLATED
en	Elevated circulating 3-hydroxykynurenine concentration	HP:6000776	rdfs:label	es		NOT_TRANSLATED
en	Posterior vertebral body notching	HP:6000777	rdfs:label	es		NOT_TRANSLATED
en	Cone-shaped distal tibial epiphysis	HP:6000778	rdfs:label	es		NOT_TRANSLATED
en	Osteoporotic femoral neck	HP:6000779	rdfs:label	es		NOT_TRANSLATED
en	Olanzapine exposure	HP:6000780	rdfs:label	es		NOT_TRANSLATED
en	Reduced tissue phosphomannomutase activity	HP:6000781	rdfs:label	es		NOT_TRANSLATED
en	Reduced tissue phosphomannose isomerase activity	HP:6000782	rdfs:label	es		NOT_TRANSLATED
en	Reduced tissue palmitoyl-protein thioesterase activity	HP:6000783	rdfs:label	es		NOT_TRANSLATED
en	Maternal household cat exposure	HP:6000784	rdfs:label	es		NOT_TRANSLATED
en	Protein craving	HP:6000785	rdfs:label	es		NOT_TRANSLATED
en	Absent superficial temporal artery pulse	HP:6000786	rdfs:label	es		NOT_TRANSLATED
en	Basilar artery fenestration	HP:6000787	rdfs:label	es		NOT_TRANSLATED
en	Displacement of the extensor tendon in metacarpophalangeal joint	HP:6000788	rdfs:label	es		NOT_TRANSLATED
en	Heloma	HP:6000789	rdfs:label	es		NOT_TRANSLATED
en	Exacerbated by pronation	HP:6000790	rdfs:label	es		NOT_TRANSLATED
en	Distortion of the anterior part of the interhemispheric fissure	HP:6000791	rdfs:label	es		NOT_TRANSLATED
en	Positive lacrimal tract actinomyces culture	HP:6000792	rdfs:label	es		NOT_TRANSLATED
en	Eschar	HP:6000793	rdfs:label	es		NOT_TRANSLATED
en	History of wearing tightly fitted clothing	HP:6000794	rdfs:label	es		NOT_TRANSLATED
en	Anti-folate receptor antibody positivity	HP:6000795	rdfs:label	es		NOT_TRANSLATED
en	Positive bloodstream VDRL test	HP:6000796	rdfs:label	es		NOT_TRANSLATED
en	Positive bloodstream rapid plasma reagin test	HP:6000797	rdfs:label	es		NOT_TRANSLATED
en	Positive bloodstream HIV p24 antigen test	HP:6000798	rdfs:label	es		NOT_TRANSLATED
en	Positive Quantiferon tuberculosis test	HP:6000799	rdfs:label	es		NOT_TRANSLATED
en	Tzanck smear with multinucleated giant cells	HP:6000800	rdfs:label	es		NOT_TRANSLATED
en	Positive Mazzotti test	HP:6000801	rdfs:label	es		NOT_TRANSLATED
en	Positive bloodstream Tropheryma whipplei nucleic acid test	HP:6000802	rdfs:label	es		NOT_TRANSLATED
en	Elevated urinary 2,8-dihydroxyadenine level	HP:6000803	rdfs:label	es		NOT_TRANSLATED
en	Elevated urine fructose level	HP:6000804	rdfs:label	es		NOT_TRANSLATED
en	Elevated urinary uroporphyrin level	HP:6000805	rdfs:label	es		NOT_TRANSLATED
en	Elevated urinary phosphohydroxylysine level	HP:6000806	rdfs:label	es		NOT_TRANSLATED
